"Path","Unstandardized Loading","S.E.","C.R.","p","Standardized Loading","AVE","CR"
"PN -> nt_can_thiet_1",1,"","",NA,0.638,"0.3857","0.653"
"PN -> nt_can_thiet_2",1.058,"0.096","11.006","***",0.644,"",""
"PN -> nt_can_thiet_3",0.93,"0.092","10.148","***",0.579,"",""
"AIL -> nb_ai_1",1,"","",NA,0.633,"0.4330","0.698"
"AIL -> nb_ai_2",1.026,"0.101","10.113","***",0.728,"",""
"AIL -> nb_ai_3",0.933,"0.097","9.642","***",0.619,"",""
"PE -> kv_hieu_qua_1",1,"","",NA,0.599,"0.5037","0.748"
"PE -> kv_hieu_qua_2",1.346,"0.112","11.986","***",0.769,"",""
"PE -> kv_hieu_qua_3",1.365,"0.116","11.722","***",0.736,"",""
"DC -> ln_phi_nhan_tinh_1",1,"","",NA,0.76,"0.6594","0.853"
"DC -> ln_phi_nhan_tinh_2",1.244,"0.071","17.483","***",0.875,"",""
"DC -> ln_phi_nhan_tinh_3",1.06,"0.064","16.638","***",0.787,"",""
"PDR -> te_liet_xh_2",1,"","",NA,0.774,"0.5848","0.738"
"PDR -> te_liet_xh_3",1.033,"0.067","15.430","***",0.756,"",""
"EEC -> nham_lan_gkhq_1",1,"","",NA,0.823,"0.5951","0.817"
"EEC -> nham_lan_gkhq_2",0.977,"0.058","16.889","***",0.743,"",""
"EEC -> nham_lan_gkhq_3",0.949,"0.055","17.126","***",0.752,"",""
"BI -> yd_hanh_vi_1",1,"","",NA,0.778,"0.6307","0.837"
"BI -> yd_hanh_vi_2",0.993,"0.057","17.414","***",0.801,"",""
"BI -> yd_hanh_vi_3",0.961,"0.055","17.501","***",0.805,"",""
