"Path","Unstandardized Loading","S.E.","C.R.","p","Standardized Loading","AVE","CR"
"PN -> nt_can_thiet_1",1,"","",NA,0.636,"0.3858","0.653"
"PN -> nt_can_thiet_2",1.065,"0.097","10.988","***",0.646,"",""
"PN -> nt_can_thiet_3",0.934,"0.092","10.119","***",0.579,"",""
"AIL -> nb_ai_1",1,"","",NA,0.632,"0.4330","0.698"
"AIL -> nb_ai_2",1.024,"0.101","10.101","***",0.727,"",""
"AIL -> nb_ai_3",0.936,"0.097","9.649","***",0.621,"",""
"PE -> kv_hieu_qua_1",1,"","",NA,0.6,"0.5037","0.748"
"PE -> kv_hieu_qua_2",1.344,"0.112","11.994","***",0.77,"",""
"PE -> kv_hieu_qua_3",1.36,"0.116","11.722","***",0.735,"",""
"DC -> ln_phi_nhan_tinh_1",1,"","",NA,0.762,"0.6592","0.853"
"DC -> ln_phi_nhan_tinh_2",1.233,"0.070","17.585","***",0.87,"",""
"DC -> ln_phi_nhan_tinh_3",1.061,"0.063","16.739","***",0.79,"",""
"PDR -> te_liet_xh_1",1,"","",NA,0.489,"0.4784","0.731"
"PDR -> te_liet_xh_2",1.754,"0.174","10.071","***",0.785,"",""
"PDR -> te_liet_xh_3",1.727,"0.176","9.809","***",0.731,"",""
"EEC -> nham_lan_gkhq_1",1,"","",NA,0.824,"0.5950","0.816"
"EEC -> nham_lan_gkhq_2",0.974,"0.058","16.907","***",0.742,"",""
"EEC -> nham_lan_gkhq_3",0.946,"0.055","17.174","***",0.752,"",""
"BI -> yd_hanh_vi_1",1,"","",NA,0.777,"0.6307","0.838"
"BI -> yd_hanh_vi_2",0.992,"0.057","17.321","***",0.799,"",""
"BI -> yd_hanh_vi_3",0.965,"0.055","17.504","***",0.808,"",""
