"Construct","Path","Outer_Loading","SE","T_value","p","CR","AVE"
"kv_hieu_qua_1","kv_hieu_qua_1  ->  PE",0.591,0.044,13.338,"***",NA,NA
"kv_hieu_qua_2","kv_hieu_qua_2  ->  PE",0.779,0.032,24.41,"***",NA,NA
"kv_hieu_qua_3","kv_hieu_qua_3  ->  PE",0.739,0.043,17.358,"***",NA,NA
"ln_phi_nhan_tinh_1","ln_phi_nhan_tinh_1  ->  DC",0.871,0.173,5.028,"***",NA,NA
"ln_phi_nhan_tinh_2","ln_phi_nhan_tinh_2  ->  DC",0.996,0.201,4.949,"***",NA,NA
"ln_phi_nhan_tinh_3","ln_phi_nhan_tinh_3  ->  DC",0.478,0.207,2.308,"0.021",NA,NA
"nb_ai_1","nb_ai_1  ->  AIL",0.12,0.148,0.81,"0.418",NA,NA
"nb_ai_2","nb_ai_2  ->  AIL",-0.054,0.152,-0.356,"0.722",NA,NA
"nb_ai_3","nb_ai_3  ->  AIL",0.927,0.589,1.574,"0.115",NA,NA
"nham_lan_gkhq_1","nham_lan_gkhq_1  ->  EEC",0.828,0.029,28.367,"***",NA,NA
"nham_lan_gkhq_2","nham_lan_gkhq_2  ->  EEC",0.774,0.032,24.389,"***",NA,NA
"nham_lan_gkhq_3","nham_lan_gkhq_3  ->  EEC",0.712,0.04,17.954,"***",NA,NA
"nt_can_thiet_1","nt_can_thiet_1  ->  PN",0.592,0.046,12.983,"***",NA,NA
"nt_can_thiet_2","nt_can_thiet_2  ->  PN",0.675,0.043,15.872,"***",NA,NA
"nt_can_thiet_3","nt_can_thiet_3  ->  PN",0.593,0.048,12.355,"***",NA,NA
"te_liet_xh_2","te_liet_xh_2  ->  PDR",0.769,0.031,24.834,"***",NA,NA
"te_liet_xh_3","te_liet_xh_3  ->  PDR",0.761,0.033,22.952,"***",NA,NA
"yd_hanh_vi_1","yd_hanh_vi_1  ->  BI",0.769,0.033,23.416,"***",NA,NA
"yd_hanh_vi_2","yd_hanh_vi_2  ->  BI",0.838,0.027,30.721,"***",NA,NA
"yd_hanh_vi_3","yd_hanh_vi_3  ->  BI",0.776,0.031,25.046,"***",NA,NA
