"Construct","Path","Outer_Loading","SE","T_value","p","CR","AVE"
"kv_hieu_qua_1 ","kv_hieu_qua_1  ->  PE",0.591,0.043,13.715,"***",NA,NA
"kv_hieu_qua_2 ","kv_hieu_qua_2  ->  PE",0.779,0.032,24.422,"***",NA,NA
"kv_hieu_qua_3 ","kv_hieu_qua_3  ->  PE",0.739,0.042,17.66,"***",NA,NA
"ln_phi_nhan_tinh_1 ","ln_phi_nhan_tinh_1  ->  DC",0.871,0.175,4.975,"***",NA,NA
"ln_phi_nhan_tinh_2 ","ln_phi_nhan_tinh_2  ->  DC",0.996,0.192,5.19,"***",NA,NA
"ln_phi_nhan_tinh_3 ","ln_phi_nhan_tinh_3  ->  DC",0.478,0.203,2.355,"0.019",NA,NA
"nb_ai_1 ","nb_ai_1  ->  AIL",0.12,0.144,0.831,"0.406",NA,NA
"nb_ai_2 ","nb_ai_2  ->  AIL",-0.054,0.155,-0.35,"0.726",NA,NA
"nb_ai_3 ","nb_ai_3  ->  AIL",0.927,0.606,1.529,"0.126",NA,NA
"nham_lan_gkhq_1 ","nham_lan_gkhq_1  ->  EEC",0.828,0.029,28.081,"***",NA,NA
"nham_lan_gkhq_2 ","nham_lan_gkhq_2  ->  EEC",0.774,0.033,23.542,"***",NA,NA
"nham_lan_gkhq_3 ","nham_lan_gkhq_3  ->  EEC",0.712,0.041,17.394,"***",NA,NA
"nt_can_thiet_1 ","nt_can_thiet_1  ->  PN",0.592,0.046,12.802,"***",NA,NA
"nt_can_thiet_2 ","nt_can_thiet_2  ->  PN",0.675,0.043,15.761,"***",NA,NA
"nt_can_thiet_3 ","nt_can_thiet_3  ->  PN",0.593,0.048,12.328,"***",NA,NA
"te_liet_xh_2 ","te_liet_xh_2  ->  PDR",0.769,0.031,25.151,"***",NA,NA
"te_liet_xh_3 ","te_liet_xh_3  ->  PDR",0.761,0.033,23.054,"***",NA,NA
"yd_hanh_vi_1 ","yd_hanh_vi_1  ->  BI",0.769,0.033,23.527,"***",NA,NA
"yd_hanh_vi_2 ","yd_hanh_vi_2  ->  BI",0.838,0.028,29.907,"***",NA,NA
"yd_hanh_vi_3 ","yd_hanh_vi_3  ->  BI",0.776,0.031,24.969,"***",NA,NA
