"Path","Unstandardized_Loading","S.E.","C.R.","p","Standardized_Loading","AVE","CR"
"nb_ai_1  ->  AIL",0.12,0.145,0.825,"0.409",0.12,0.292,0.317
"nb_ai_2  ->  AIL",-0.054,0.153,-0.354,"0.723",-0.054,0.292,0.317
"nb_ai_3  ->  AIL",0.927,0.657,1.41,"0.158",0.927,0.292,0.317
"yd_hanh_vi_1  ->  BI",0.769,0.034,22.588,"***",0.769,0.631,0.837
"yd_hanh_vi_2  ->  BI",0.838,0.028,30.157,"***",0.838,0.631,0.837
"yd_hanh_vi_3  ->  BI",0.776,0.031,25.28,"***",0.776,0.631,0.837
"ln_phi_nhan_tinh_1  ->  DC",0.871,0.175,4.966,"***",0.871,0.66,0.844
"ln_phi_nhan_tinh_2  ->  DC",0.996,0.197,5.047,"***",0.996,0.66,0.844
"ln_phi_nhan_tinh_3  ->  DC",0.478,0.202,2.361,"0.018",0.478,0.66,0.844
"nham_lan_gkhq_1  ->  EEC",0.828,0.029,28.329,"***",0.828,0.597,0.816
"nham_lan_gkhq_2  ->  EEC",0.774,0.033,23.648,"***",0.774,0.597,0.816
"nham_lan_gkhq_3  ->  EEC",0.712,0.04,17.714,"***",0.712,0.597,0.816
"te_liet_xh_2  ->  PDR",0.769,0.03,25.262,"***",0.769,0.585,0.738
"te_liet_xh_3  ->  PDR",0.761,0.034,22.502,"***",0.761,0.585,0.738
"kv_hieu_qua_1  ->  PE",0.591,0.043,13.851,"***",0.591,0.501,0.748
"kv_hieu_qua_2  ->  PE",0.779,0.032,24.605,"***",0.779,0.501,0.748
"kv_hieu_qua_3  ->  PE",0.739,0.041,17.815,"***",0.739,0.501,0.748
"nt_can_thiet_1  ->  PN",0.592,0.047,12.591,"***",0.592,0.386,0.652
"nt_can_thiet_2  ->  PN",0.675,0.043,15.869,"***",0.675,0.386,0.652
"nt_can_thiet_3  ->  PN",0.593,0.047,12.68,"***",0.593,0.386,0.652
