"Construct","Path","Outer_Loading","SE","T_value","p","CR","AVE"
"kv_hieu_qua_1 ","kv_hieu_qua_1  ->  PE",0.591,0.043,13.609,"***",NA,NA
"kv_hieu_qua_2 ","kv_hieu_qua_2  ->  PE",0.779,0.032,24.231,"***",NA,NA
"kv_hieu_qua_3 ","kv_hieu_qua_3  ->  PE",0.739,0.042,17.787,"***",NA,NA
"ln_phi_nhan_tinh_1 ","ln_phi_nhan_tinh_1  ->  DC",0.871,0.169,5.167,"***",NA,NA
"ln_phi_nhan_tinh_2 ","ln_phi_nhan_tinh_2  ->  DC",0.997,0.193,5.166,"***",NA,NA
"ln_phi_nhan_tinh_3 ","ln_phi_nhan_tinh_3  ->  DC",0.477,0.204,2.344,"0.019",NA,NA
"nb_ai_1 ","nb_ai_1  ->  AIL",0.118,0.145,0.818,"0.413",NA,NA
"nb_ai_2 ","nb_ai_2  ->  AIL",-0.054,0.155,-0.348,"0.728",NA,NA
"nb_ai_3 ","nb_ai_3  ->  AIL",0.917,0.644,1.424,"0.154",NA,NA
"nham_lan_gkhq_1 ","nham_lan_gkhq_1  ->  EEC",0.833,0.029,29.204,"***",NA,NA
"nham_lan_gkhq_2 ","nham_lan_gkhq_2  ->  EEC",0.764,0.031,24.278,"***",NA,NA
"nham_lan_gkhq_3 ","nham_lan_gkhq_3  ->  EEC",0.717,0.037,19.524,"***",NA,NA
"nt_can_thiet_1 ","nt_can_thiet_1  ->  PN",0.592,0.047,12.569,"***",NA,NA
"nt_can_thiet_2 ","nt_can_thiet_2  ->  PN",0.675,0.042,15.955,"***",NA,NA
"nt_can_thiet_3 ","nt_can_thiet_3  ->  PN",0.593,0.047,12.578,"***",NA,NA
"te_liet_xh_1 ","te_liet_xh_1  ->  PDR",0.414,0.053,7.861,"***",NA,NA
"te_liet_xh_2 ","te_liet_xh_2  ->  PDR",0.787,0.03,26.294,"***",NA,NA
"te_liet_xh_3 ","te_liet_xh_3  ->  PDR",0.777,0.036,21.548,"***",NA,NA
"yd_hanh_vi_1 ","yd_hanh_vi_1  ->  BI",0.765,0.034,22.278,"***",NA,NA
"yd_hanh_vi_2 ","yd_hanh_vi_2  ->  BI",0.831,0.029,29.044,"***",NA,NA
"yd_hanh_vi_3 ","yd_hanh_vi_3  ->  BI",0.786,0.031,25.414,"***",NA,NA
