"Construct","Indicator","Outer_Loading","Standard_Error_SE","t_value_CR","p_value","Composite_Reliability_CR","Average_Variance_Extracted_AVE"
"PN","PN1","0.761","0.030","25.578","< .001","0.811","0.589"
"PN","PN2","0.800","0.025","32.123","< .001","0.811","0.589"
"PN","PN3","0.741","0.033","22.757","< .001","0.811","0.589"
"PE","PE1","0.752","0.030","24.728","< .001","0.854","0.661"
"PE","PE2","0.859","0.013","65.416","< .001","0.854","0.661"
"PE","PE3","0.826","0.023","36.448","< .001","0.854","0.661"
"AIL","AIL3","1.000","0.000","N/A","< .001","1.000","1.000"
"DC","DC1","0.878","0.086","10.193","0.008","0.904","0.760"
"DC","DC2","0.921","0.089","10.296","0.008","0.904","0.760"
"DC","DC3","0.812","0.129","6.318","0.008","0.904","0.760"
"EEC","EEC1","0.884","0.012","72.069","< .001","0.890","0.730"
"EEC","EEC2","0.844","0.017","48.963","< .001","0.890","0.730"
"EEC","EEC3","0.834","0.022","37.843","< .001","0.890","0.730"
"PDR","PDR2","0.892","0.012","71.889","< .001","0.885","0.793"
"PDR","PDR3","0.889","0.013","67.061","< .001","0.885","0.793"
"BI","BI1","0.853","0.014","60.939","< .001","0.901","0.753"
"BI","BI2","0.872","0.014","63.516","< .001","0.901","0.753"
"BI","BI3","0.878","0.012","71.175","< .001","0.901","0.753"
