"Construct","Indicator","Outer_Loading","Standard_Error_SE","t_value_CR","p_value","Composite_Reliability_CR","Average_Variance_Extracted_AVE"
"PN","PN1","0.761","0.030","25.260","< .001","0.811","0.589"
"PN","PN2","0.800","0.023","34.864","< .001","0.811","0.589"
"PN","PN3","0.741","0.031","23.651","< .001","0.811","0.589"
"PE","PE1","0.752","0.030","24.854","< .001","0.854","0.661"
"PE","PE2","0.859","0.014","59.676","< .001","0.854","0.661"
"PE","PE3","0.826","0.024","34.304","< .001","0.854","0.661"
"AIL","AIL1","0.462","0.225","2.055","0.124","0.697","0.470"
"AIL","AIL2","0.455","0.248","1.837","0.168","0.697","0.470"
"AIL","AIL3","0.994","0.209","4.746","0.044","0.697","0.470"
"DC","DC1","0.878","0.076","11.628","< .001","0.904","0.760"
"DC","DC2","0.921","0.081","11.316","0.004","0.904","0.760"
"DC","DC3","0.812","0.110","7.365","0.008","0.904","0.760"
"EEC","EEC1","0.885","0.012","74.727","< .001","0.890","0.730"
"EEC","EEC2","0.841","0.018","47.221","< .001","0.890","0.730"
"EEC","EEC3","0.835","0.019","42.946","< .001","0.890","0.730"
"PDR","PDR1","0.600","0.051","11.788","< .001","0.826","0.619"
"PDR","PDR2","0.882","0.012","73.995","< .001","0.826","0.619"
"PDR","PDR3","0.848","0.018","46.215","< .001","0.826","0.619"
"BI","BI1","0.853","0.016","53.772","< .001","0.902","0.753"
"BI","BI2","0.871","0.013","64.739","< .001","0.902","0.753"
"BI","BI3","0.880","0.012","71.358","< .001","0.902","0.753"
