"gender","major","disaster_freq","ai_experience","nt_can_thiet_1","nt_can_thiet_2","nt_can_thiet_3","nb_ai_1","nb_ai_2","nb_ai_3","kv_hieu_qua_1","kv_hieu_qua_2","kv_hieu_qua_3","ln_phi_nhan_tinh_1","ln_phi_nhan_tinh_2","ln_phi_nhan_tinh_3","te_liet_xh_1","te_liet_xh_2","te_liet_xh_3","nham_lan_gkhq_1","nham_lan_gkhq_2","nham_lan_gkhq_3","yd_hanh_vi_1","yd_hanh_vi_2","yd_hanh_vi_3","other_opinions"
"Nam","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",5,5,5,5,5,5,5,5,1,1,5,1,1,1,1,5,5,5,5,5,5,"bảo mật thông tin"
"Nam","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Hằng năm, đều đặn","Chưa từng sử dụng",3,3,4,2,4,3,5,4,3,3,4,4,3,5,5,5,5,5,5,4,5,"tôi muốn AI cho thể theo sát hơn cho khả năng của cơ thể và mong muốn sẽ có thể theo dõi sát sao. Tôi lo ngại nó có thể ảnh hưởng đến đời sống tôi qua nhiều, khiến thông tin bị lộ"
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Hằng năm, đều đặn","Sử dụng thường xuyên",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảnh, tùy năm","Sử dụng vài lần",3,2,4,4,4,4,3,3,5,3,2,2,3,2,2,2,1,1,1,3,3,NA
"Nam","Khoa học Tự nhiên, Y dược & Khác (Y, Dược, Sinh học, Hóa học, Sức khỏe...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",2,2,2,4,4,4,3,3,3,2,2,2,2,2,3,2,2,1,1,1,1,NA
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảnh, tùy năm","Sử dụng thường xuyên",3,3,4,4,3,5,3,4,3,4,3,5,5,3,3,5,3,5,3,3,5,"không"
"Nam","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Sử dụng thường xuyên",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Không a"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,1,1,3,"KHÔNG"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảnh, tùy năm","Sử dụng vài lần",5,5,5,4,4,3,4,4,4,3,4,2,2,3,2,1,2,3,1,4,4,NA
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",5,3,3,3,3,3,3,3,4,3,4,4,1,1,1,1,1,3,3,3,3,NA
"Nam","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Hằng năm, đều đặn","Chưa từng sử dụng",4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Hằng năm, đều đặn","Sử dụng vài lần",5,3,4,5,4,3,5,5,4,5,5,5,5,5,4,5,4,5,4,4,3,NA
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảnh, tùy năm","Chưa từng sử dụng",5,5,4,4,3,1,1,2,4,1,2,3,3,2,2,2,2,2,2,2,2,"không"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,3,3,4,4,3,4,3,3,2,2,2,2,2,2,2,3,3,2,3,3,"Không"
"Nam","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,4,2,5,5,3,5,2,2,5,5,5,2,2,1,1,1,1,1,1,1,"không có"
"Nữ","Khoa học Tự nhiên, Y dược & Khác (Y, Dược, Sinh học, Hóa học, Sức khỏe...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Không"
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Thỉnh thoảnh, tùy năm","Chưa từng sử dụng",3,3,3,5,4,3,3,3,2,5,4,4,4,3,2,2,3,2,3,2,2,"Không"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",3,5,3,5,5,3,5,1,1,5,5,5,3,1,1,1,1,1,1,1,1,"không, mình không nghĩ AI có thể thấu hiểu mình (việc mà bạn bè, người thân còn chưa chắc làm được)"
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Thỉnh thoảnh, tùy năm","Sử dụng vài lần",2,3,3,3,3,2,3,2,2,4,4,4,4,4,2,3,3,2,3,2,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",5,4,5,5,3,4,3,3,4,4,3,3,3,4,4,4,5,4,2,3,4,NA
"Nữ","Khoa học Tự nhiên, Y dược & Khác (Y, Dược, Sinh học, Hóa học, Sức khỏe...)","Thỉnh thoảnh, tùy năm","Sử dụng vài lần",3,2,4,4,4,3,4,3,4,2,2,3,2,1,1,2,2,2,2,3,3,"Đôi khi AI không hoàn toàn hiểu hết tình trạng tâm lý của tất cả mọi người và AI sẽ chỉ đưa ra hướng giải quyết chung không phù hợp"
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA
